timestamp_ist,elapsed_s,tick,signal_strength_pct,echo_return_time_ms,measured_distance_m,noise_level_dB,wave_amplitude,fault_score,system_status,injected_fault,sea_state,sea_state_label,ship_speed_kn
2026-08-13 22:51:49 IST,0.03,1619,88.65,1.8499,0.2938,21.132,-0.3422,0.0028,normal,none,2,Moderate,10
2026-08-13 22:51:50 IST,0.43,1620,87.27,1.8437,0.3693,20.793,-0.6149,0.0397,normal,none,2,Moderate,10
2026-08-13 22:51:50 IST,0.83,1621,85.36,1.8348,0.3080,19.533,-0.6416,0.0041,normal,none,2,Moderate,10
2026-08-13 22:51:51 IST,1.24,1622,86.30,1.8334,0.3103,17.810,-0.4312,0.0383,normal,none,2,Moderate,10
2026-08-13 22:51:51 IST,1.63,1623,85.79,1.8560,0.3205,19.216,-0.0070,0.0749,normal,noise,2,Moderate,10
2026-08-13 22:51:51 IST,2.03,1624,87.60,1.8441,0.2447,20.308,0.3787,0.0876,normal,noise,2,Moderate,10
2026-08-13 22:51:52 IST,2.43,1625,86.01,1.8249,0.2727,21.129,0.5340,0.1396,normal,noise,2,Moderate,10
2026-08-13 22:51:52 IST,2.83,1626,84.17,1.8428,0.2900,22.900,0.4370,0.1838,normal,noise,2,Moderate,10
2026-08-13 22:51:53 IST,3.24,1627,86.19,1.8443,0.2801,22.400,0.3266,0.2566,pre-fault,noise,2,Moderate,10
2026-08-13 22:51:53 IST,3.63,1628,85.02,1.8203,0.2491,23.473,0.1568,0.1794,normal,noise,2,Moderate,10
2026-08-13 22:51:53 IST,4.03,1629,82.22,1.8314,0.3403,22.050,-0.0759,0.2586,pre-fault,noise,2,Moderate,10
2026-08-13 22:51:54 IST,4.43,1630,87.62,1.8564,0.2709,18.081,-0.4822,0.1221,normal,drift,2,Moderate,10
2026-08-13 22:51:54 IST,4.83,1631,85.86,1.8901,0.3838,19.666,-0.5176,0.0848,normal,drift,2,Moderate,10
2026-08-13 22:51:55 IST,5.23,1632,87.90,1.9377,0.2599,20.491,-0.4849,0.1139,normal,drift,2,Moderate,10
2026-08-13 22:51:55 IST,5.63,1633,87.01,1.9351,0.2953,18.554,-0.1530,0.0876,normal,drift,2,Moderate,10
2026-08-13 22:51:55 IST,6.04,1634,87.82,1.9610,0.3666,18.834,0.0551,0.1495,normal,drift,2,Moderate,10
2026-08-13 22:51:56 IST,6.43,1635,85.04,2.0098,0.2671,18.792,0.4311,0.1892,normal,drift,2,Moderate,10
2026-08-13 22:51:56 IST,6.83,1636,84.83,2.0152,0.3139,19.264,0.5768,0.1690,normal,drift,2,Moderate,10
2026-08-13 22:51:57 IST,7.23,1637,84.94,2.0406,0.4244,19.710,0.5843,0.1870,normal,drift,2,Moderate,10
2026-08-13 22:51:57 IST,7.64,1638,84.30,2.0769,0.3980,21.250,0.2226,0.2211,normal,drift,2,Moderate,10
2026-08-13 22:51:57 IST,8.03,1639,86.93,2.0934,0.3880,19.515,0.0173,0.2833,pre-fault,drift,2,Moderate,10
2026-08-13 22:51:58 IST,8.43,1640,85.38,1.8593,0.2903,20.918,-0.3673,0.1081,normal,weak,2,Moderate,10
2026-08-13 22:51:58 IST,8.83,1641,83.14,1.8597,0.3867,20.929,-0.6374,0.0879,normal,weak,2,Moderate,10
2026-08-13 22:51:59 IST,9.23,1642,84.35,1.8227,0.3758,18.018,-0.6147,0.1210,normal,weak,2,Moderate,10
2026-08-13 22:51:59 IST,9.63,1643,83.44,1.8366,0.3902,19.577,-0.3538,0.2224,normal,weak,2,Moderate,10
2026-08-13 22:51:59 IST,10.03,1644,80.89,1.8471,0.2703,20.472,0.0488,0.1530,normal,weak,2,Moderate,10
2026-08-13 22:52:00 IST,10.43,1645,78.66,1.8550,0.2840,20.438,0.1779,0.1778,normal,weak,2,Moderate,10
2026-08-13 22:52:00 IST,10.83,1646,78.91,1.8501,0.3360,21.166,0.3591,0.2345,normal,weak,2,Moderate,10
2026-08-13 22:52:01 IST,11.23,1647,74.74,1.8449,0.3174,17.850,0.4916,0.2926,pre-fault,weak,2,Moderate,10
2026-08-13 22:52:01 IST,11.63,1648,73.10,1.8541,0.2974,21.074,0.2837,0.2691,pre-fault,weak,2,Moderate,10
2026-08-13 22:52:01 IST,12.04,1649,88.54,1.8568,0.3720,18.348,0.1316,0.0217,normal,dropout,2,Moderate,10
2026-08-13 22:52:02 IST,12.43,1650,85.44,1.8259,0.2660,18.035,-0.2944,0.0483,normal,dropout,2,Moderate,10
2026-08-13 22:52:02 IST,12.84,1651,88.92,1.8366,0.2827,18.710,-0.4708,0.0637,normal,dropout,2,Moderate,10
2026-08-13 22:52:03 IST,13.23,1652,85.85,1.8489,0.3291,18.417,-0.5163,0.0825,normal,dropout,2,Moderate,10
2026-08-13 22:52:03 IST,13.63,1653,86.88,1.8548,0.3672,18.460,-0.4486,0.0983,normal,dropout,2,Moderate,10
2026-08-13 22:52:03 IST,14.03,1654,88.65,1.8504,0.3636,18.225,-0.1288,0.1178,normal,dropout,2,Moderate,10
2026-08-13 22:52:04 IST,14.43,1655,88.98,1.8241,0.3810,19.517,0.1130,0.1174,normal,dropout,2,Moderate,10
2026-08-13 22:52:04 IST,14.84,1656,85.76,1.8408,0.3335,20.400,0.4903,0.1462,normal,dropout,2,Moderate,10
2026-08-13 22:52:05 IST,15.23,1657,86.51,1.8262,0.2647,20.602,0.5989,0.1308,normal,dropout,2,Moderate,10
2026-08-13 22:52:05 IST,15.63,1658,85.77,1.8446,0.3057,18.841,0.6058,0.1366,normal,dropout,2,Moderate,10
2026-08-13 22:52:05 IST,16.03,1659,87.74,1.8477,0.2578,19.796,0.2991,0.1744,normal,dropout,2,Moderate,10
2026-08-13 22:52:06 IST,16.43,1660,85.79,1.8221,0.3469,19.546,0.0000,0.1922,normal,dropout,2,Moderate,10
2026-08-13 22:52:06 IST,16.83,1661,0.00,1.8303,,20.053,-0.4246,0.9349,fault,dropout,2,Moderate,10
2026-08-13 22:52:07 IST,17.23,1662,89.08,1.8232,0.3807,18.995,-0.6447,0.2010,normal,dropout,2,Moderate,10
2026-08-13 22:52:07 IST,17.64,1663,87.13,1.8361,0.2881,18.853,-0.6534,0.2289,normal,dropout,2,Moderate,10
2026-08-13 22:52:07 IST,18.04,1664,86.01,1.8325,0.2825,20.117,-0.4050,0.2497,normal,dropout,2,Moderate,10
2026-08-13 22:52:08 IST,18.43,1665,89.45,1.8322,0.2540,19.145,-0.1013,0.0448,normal,spike,2,Moderate,10
2026-08-13 22:52:08 IST,18.84,1666,86.48,1.8423,0.3823,18.158,0.3845,0.0662,normal,spike,2,Moderate,10
2026-08-13 22:52:09 IST,19.24,1667,87.09,1.8482,0.2641,18.602,0.4492,0.0699,normal,spike,2,Moderate,10
2026-08-13 22:52:09 IST,19.64,1668,88.73,1.8244,0.3337,17.942,0.6234,0.1024,normal,spike,2,Moderate,10
2026-08-13 22:52:09 IST,20.03,1669,88.59,1.8368,0.2975,19.647,0.3558,0.1253,normal,spike,2,Moderate,10
2026-08-13 22:52:10 IST,20.43,1670,87.56,1.8437,0.2675,19.909,-0.3212,0.1429,normal,spike,2,Moderate,10
